,cells,host,samples,media,abx_c,replicate,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
D04,y,DE344,NC,TB,0,2,TB|0ug,just_cells|TB|0ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D4 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|TB|0ug
E04,y,DE344,NC,TB,0,3,TB|0ug,just_cells|TB|0ug|3,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E4 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|TB|0ug
F04,y,DE344,NC,TB,0,4,TB|0ug,just_cells|TB|0ug|4,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F4 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|TB|0ug
G04,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,0,EZRDM|40ug,pJUMP47-2A(pSC101)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G4 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|EZRDM|40ug
H04,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,1,EZRDM|40ug,pJUMP47-2A(pSC101)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H4 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|EZRDM|40ug
A05,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,2,EZRDM|40ug,pJUMP47-2A(pSC101)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A5 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|EZRDM|40ug
B05,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,3,EZRDM|40ug,pJUMP47-2A(pSC101)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B5 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|EZRDM|40ug
C05,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,4,EZRDM|40ug,pJUMP47-2A(pSC101)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C5 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|EZRDM|40ug
D05,y,DE344,pJUMP47-2A(pSC101),LB,40,0,LB|40ug,pJUMP47-2A(pSC101)|LB|40ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D5 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|LB|40ug
E05,y,DE344,pJUMP47-2A(pSC101),LB,40,1,LB|40ug,pJUMP47-2A(pSC101)|LB|40ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E5 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP47-2A(pSC101)|LB|40ug
