well,cells,host,samples,media,ind_c,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
M2,y,Marionette,PB1,EZRDM,50uM,40ug,1,MarionettePB1|50uM|1,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,M2 of 3 on Temperature Module GEN2 on 3,2023-06-04
N2,y,Marionette,PB1,EZRDM,50uM,40ug,2,MarionettePB1|50uM|2,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,N2 of 3 on Temperature Module GEN2 on 3,2023-06-04
O2,y,Marionette,PB1,EZRDM,75uM,40ug,0,MarionettePB1|75uM|0,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,O2 of 3 on Temperature Module GEN2 on 3,2023-06-04
P2,y,Marionette,PB1,EZRDM,75uM,40ug,1,MarionettePB1|75uM|1,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,P2 of 3 on Temperature Module GEN2 on 3,2023-06-04
A3,y,Marionette,PB1,EZRDM,75uM,40ug,2,MarionettePB1|75uM|2,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A3 of 3 on Temperature Module GEN2 on 3,2023-06-04
B3,y,Marionette,PB1,EZRDM,100uM,40ug,0,MarionettePB1|100uM|0,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B3 of 3 on Temperature Module GEN2 on 3,2023-06-04
C3,y,Marionette,PB1,EZRDM,100uM,40ug,1,MarionettePB1|100uM|1,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C3 of 3 on Temperature Module GEN2 on 3,2023-06-04
D3,y,Marionette,PB1,EZRDM,100uM,40ug,2,MarionettePB1|100uM|2,B4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D3 of 3 on Temperature Module GEN2 on 3,2023-06-04
E3,y,Marionette,PB1,EZRDM,125uM,40ug,0,MarionettePB1|125uM|0,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E3 of 3 on Temperature Module GEN2 on 3,2023-06-04
F3,y,Marionette,PB1,EZRDM,125uM,40ug,1,MarionettePB1|125uM|1,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F3 of 3 on Temperature Module GEN2 on 3,2023-06-04
G3,y,Marionette,PB1,EZRDM,125uM,40ug,2,MarionettePB1|125uM|2,C4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G3 of 3 on Temperature Module GEN2 on 3,2023-06-04
H3,y,Marionette,PB1,EZRDM,150um,40ug,0,MarionettePB1|150um|0,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H3 of 3 on Temperature Module GEN2 on 3,2023-06-04
I3,y,Marionette,PB1,EZRDM,150um,40ug,1,MarionettePB1|150um|1,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,I3 of 3 on Temperature Module GEN2 on 3,2023-06-04
J3,y,Marionette,PB1,EZRDM,150um,40ug,2,MarionettePB1|150um|2,C1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,J3 of 3 on Temperature Module GEN2 on 3,2023-06-04
K3,y,Marionette,PB2,EZRDM,0uM,40ug,0,MarionettePB2|0uM|0,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,K3 of 3 on Temperature Module GEN2 on 3,2023-06-04
L3,y,Marionette,PB2,EZRDM,0uM,40ug,1,MarionettePB2|0uM|1,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,L3 of 3 on Temperature Module GEN2 on 3,2023-06-04
M3,y,Marionette,PB2,EZRDM,0uM,40ug,2,MarionettePB2|0uM|2,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,M3 of 3 on Temperature Module GEN2 on 3,2023-06-04
N3,y,Marionette,PB2,EZRDM,10uM,40ug,0,MarionettePB2|10uM|0,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,N3 of 3 on Temperature Module GEN2 on 3,2023-06-04
O3,y,Marionette,PB2,EZRDM,10uM,40ug,1,MarionettePB2|10uM|1,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,O3 of 3 on Temperature Module GEN2 on 3,2023-06-04
P3,y,Marionette,PB2,EZRDM,10uM,40ug,2,MarionettePB2|10uM|2,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,P3 of 3 on Temperature Module GEN2 on 3,2023-06-04
A4,y,Marionette,PB2,EZRDM,25uM,40ug,0,MarionettePB2|25uM|0,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A4 of 3 on Temperature Module GEN2 on 3,2023-06-04
B4,y,Marionette,PB2,EZRDM,25uM,40ug,1,MarionettePB2|25uM|1,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B4 of 3 on Temperature Module GEN2 on 3,2023-06-04
C4,y,Marionette,PB2,EZRDM,25uM,40ug,2,MarionettePB2|25uM|2,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C4 of 3 on Temperature Module GEN2 on 3,2023-06-04
D4,y,Marionette,PB2,EZRDM,50uM,40ug,0,MarionettePB2|50uM|0,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D4 of 3 on Temperature Module GEN2 on 3,2023-06-04
E4,y,Marionette,PB2,EZRDM,50uM,40ug,1,MarionettePB2|50uM|1,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E4 of 3 on Temperature Module GEN2 on 3,2023-06-04
F4,y,Marionette,PB2,EZRDM,50uM,40ug,2,MarionettePB2|50uM|2,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F4 of 3 on Temperature Module GEN2 on 3,2023-06-04
G4,y,Marionette,PB2,EZRDM,75uM,40ug,0,MarionettePB2|75uM|0,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G4 of 3 on Temperature Module GEN2 on 3,2023-06-04
H4,y,Marionette,PB2,EZRDM,75uM,40ug,1,MarionettePB2|75uM|1,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H4 of 3 on Temperature Module GEN2 on 3,2023-06-04
I4,y,Marionette,PB2,EZRDM,75uM,40ug,2,MarionettePB2|75uM|2,A4 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,I4 of 3 on Temperature Module GEN2 on 3,2023-06-04
