,cells,host,samples,media,abx_c,replicate,sample_ID,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
H04,y,DE344,pJUMP46-2A(p15A),EZRDM,40,1,DE344|pJUMP46-2A(p15A),EZRDM|40ug,DE344|pJUMP46-2A(p15A)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H4 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP46-2A(p15A)
A05,y,DE344,pJUMP46-2A(p15A),EZRDM,40,2,DE344|pJUMP46-2A(p15A),EZRDM|40ug,DE344|pJUMP46-2A(p15A)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A5 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP46-2A(p15A)
B05,y,DE344,pJUMP46-2A(p15A),EZRDM,40,3,DE344|pJUMP46-2A(p15A),EZRDM|40ug,DE344|pJUMP46-2A(p15A)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B5 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP46-2A(p15A)
C05,y,DE344,pJUMP46-2A(p15A),EZRDM,40,4,DE344|pJUMP46-2A(p15A),EZRDM|40ug,DE344|pJUMP46-2A(p15A)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C5 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP46-2A(p15A)
D05,y,DE344,pJUMP46-2A(p15A),EZRDM,40,5,DE344|pJUMP46-2A(p15A),EZRDM|40ug,DE344|pJUMP46-2A(p15A)|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D5 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP46-2A(p15A)
A07,y,DE344,pJUMP48-2A(pUC),EZRDM,40,0,DE344|pJUMP48-2A(pUC),EZRDM|40ug,DE344|pJUMP48-2A(pUC)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A7 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP48-2A(pUC)
B07,y,DE344,pJUMP48-2A(pUC),EZRDM,40,1,DE344|pJUMP48-2A(pUC),EZRDM|40ug,DE344|pJUMP48-2A(pUC)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B7 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP48-2A(pUC)
C07,y,DE344,pJUMP48-2A(pUC),EZRDM,40,2,DE344|pJUMP48-2A(pUC),EZRDM|40ug,DE344|pJUMP48-2A(pUC)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C7 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP48-2A(pUC)
D07,y,DE344,pJUMP48-2A(pUC),EZRDM,40,3,DE344|pJUMP48-2A(pUC),EZRDM|40ug,DE344|pJUMP48-2A(pUC)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D7 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP48-2A(pUC)
E07,y,DE344,pJUMP48-2A(pUC),EZRDM,40,4,DE344|pJUMP48-2A(pUC),EZRDM|40ug,DE344|pJUMP48-2A(pUC)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E7 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP48-2A(pUC)
F07,y,DE344,pJUMP48-2A(pUC),EZRDM,40,5,DE344|pJUMP48-2A(pUC),EZRDM|40ug,DE344|pJUMP48-2A(pUC)|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,A3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F7 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP48-2A(pUC)
G07,y,DH5a,pJUMP47-2A(pSC101),EZRDM,40,0,DH5a|pJUMP47-2A(pSC101),EZRDM|40ug,DH5a|pJUMP47-2A(pSC101)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G7 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP47-2A(pSC101)
H07,y,DH5a,pJUMP47-2A(pSC101),EZRDM,40,1,DH5a|pJUMP47-2A(pSC101),EZRDM|40ug,DH5a|pJUMP47-2A(pSC101)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H7 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP47-2A(pSC101)
A08,y,DH5a,pJUMP47-2A(pSC101),EZRDM,40,2,DH5a|pJUMP47-2A(pSC101),EZRDM|40ug,DH5a|pJUMP47-2A(pSC101)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A8 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP47-2A(pSC101)
B08,y,DH5a,pJUMP47-2A(pSC101),EZRDM,40,3,DH5a|pJUMP47-2A(pSC101),EZRDM|40ug,DH5a|pJUMP47-2A(pSC101)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B8 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP47-2A(pSC101)
C08,y,DH5a,pJUMP47-2A(pSC101),EZRDM,40,4,DH5a|pJUMP47-2A(pSC101),EZRDM|40ug,DH5a|pJUMP47-2A(pSC101)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C8 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP47-2A(pSC101)
D08,y,DH5a,pJUMP47-2A(pSC101),EZRDM,40,5,DH5a|pJUMP47-2A(pSC101),EZRDM|40ug,DH5a|pJUMP47-2A(pSC101)|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D8 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP47-2A(pSC101)
E08,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,40,0,DH5a|pJUMP43-2A(pBBR1),EZRDM|40ug,DH5a|pJUMP43-2A(pBBR1)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E8 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP43-2A(pBBR1)
F08,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,40,1,DH5a|pJUMP43-2A(pBBR1),EZRDM|40ug,DH5a|pJUMP43-2A(pBBR1)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C3 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F8 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|pJUMP43-2A(pBBR1)
