wavelength,excitation,dichroic,emission
309,5.00E-07,,1.16E-06
309.2,4.57E-07,,1.07E-06
309.4,4.19E-07,,1.05E-06
309.6,3.83E-07,,1.11E-06
309.8,3.51E-07,,1.17E-06
310,3.21E-07,,1.23E-06
310.2,2.94E-07,,1.30E-06
310.4,2.69E-07,,1.38E-06
310.6,2.46E-07,,1.45E-06
310.8,2.25E-07,,1.53E-06
311,2.06E-07,,1.62E-06
311.2,1.98E-07,,1.71E-06
311.4,2.13E-07,,1.81E-06
311.6,2.29E-07,,1.91E-06
311.8,2.47E-07,,2.01E-06
312,2.66E-07,,2.13E-06
312.2,2.87E-07,,2.25E-06
312.4,3.09E-07,,2.37E-06
312.6,3.33E-07,,2.50E-06
312.8,3.59E-07,,2.64E-06
313,3.86E-07,,2.79E-06
313.2,4.16E-07,,2.76E-06
313.4,4.48E-07,,2.68E-06
313.6,4.83E-07,,2.61E-06
313.8,5.20E-07,,2.54E-06
314,5.60E-07,,2.47E-06
314.2,6.04E-07,,2.41E-06
314.4,6.50E-07,,2.34E-06
314.6,7.00E-07,,2.28E-06
314.8,7.54E-07,,2.22E-06
315,8.13E-07,,2.16E-06
315.2,8.75E-07,,2.10E-06
315.4,9.43E-07,,2.04E-06
315.6,1.02E-06,,1.99E-06
315.8,1.09E-06,,1.93E-06
316,1.14E-06,,1.88E-06
316.2,1.19E-06,,1.83E-06
316.4,1.24E-06,,1.78E-06
316.6,1.30E-06,,1.73E-06
316.8,1.36E-06,,1.67E-06
317,1.41E-06,,1.55E-06
317.2,1.48E-06,,1.43E-06
317.4,1.54E-06,,1.32E-06
317.6,1.61E-06,,1.22E-06
317.8,1.68E-06,,1.13E-06
318,1.75E-06,,1.04E-06
318.2,1.83E-06,,9.62E-07
318.4,1.91E-06,,8.89E-07
318.6,1.99E-06,,8.22E-07
318.8,2.08E-06,,7.59E-07
319,2.17E-06,,7.02E-07
319.2,2.26E-06,,6.48E-07
319.4,2.36E-06,,5.99E-07
319.6,2.46E-06,,5.54E-07
319.8,2.57E-06,,5.12E-07
320,2.68E-06,,4.73E-07
320.2,2.80E-06,,4.37E-07
320.4,2.92E-06,,4.04E-07
320.6,2.67E-06,,3.87E-07
320.8,2.32E-06,,3.86E-07
321,2.01E-06,,3.84E-07
321.2,1.75E-06,,3.83E-07
321.4,1.52E-06,,3.82E-07
321.6,1.32E-06,,3.81E-07
321.8,1.15E-06,,3.80E-07
322,9.95E-07,,3.78E-07
322.2,8.64E-07,,3.77E-07
322.4,7.50E-07,,3.76E-07
322.6,6.52E-07,,3.75E-07
322.8,5.66E-07,,3.74E-07
323,4.92E-07,,3.73E-07
323.2,4.27E-07,,3.72E-07
323.4,3.71E-07,,3.70E-07
323.6,3.22E-07,,3.69E-07
323.8,2.80E-07,,3.68E-07
324,2.43E-07,,3.67E-07
324.2,2.11E-07,,3.66E-07
324.4,1.83E-07,,3.94E-07
324.6,1.59E-07,,4.32E-07
324.8,1.38E-07,,4.74E-07
325,1.20E-07,,5.19E-07
325.2,1.15E-07,,5.69E-07
325.4,1.24E-07,,6.24E-07
325.6,1.34E-07,,6.84E-07
325.8,1.44E-07,,7.50E-07
326,1.55E-07,,8.22E-07
326.2,1.67E-07,,9.01E-07
326.4,1.80E-07,,9.87E-07
326.6,1.94E-07,,1.08E-06
326.8,2.09E-07,,1.19E-06
327,2.25E-07,,1.30E-06
327.2,2.43E-07,,1.43E-06
327.4,2.61E-07,,1.56E-06
327.6,2.81E-07,,1.71E-06
327.8,3.03E-07,,1.88E-06
328,3.26E-07,,1.98E-06
328.2,3.52E-07,,1.77E-06
328.4,3.79E-07,,1.57E-06
328.6,4.08E-07,,1.40E-06
328.8,4.39E-07,,1.25E-06
329,4.73E-07,,1.11E-06
329.2,5.10E-07,,9.89E-07
329.4,5.49E-07,,8.80E-07
329.6,5.91E-07,,7.84E-07
329.8,6.08E-07,,6.98E-07
330,5.30E-07,,6.21E-07
330.2,4.63E-07,,5.53E-07
330.4,4.03E-07,,4.92E-07
330.6,3.52E-07,,4.38E-07
330.8,3.07E-07,,3.90E-07
331,2.68E-07,,3.48E-07
331.2,2.33E-07,,3.09E-07
331.4,2.04E-07,,2.75E-07
331.6,1.78E-07,,2.45E-07
331.8,1.55E-07,,2.45E-07
332,1.35E-07,,2.72E-07
332.2,1.18E-07,,3.01E-07
332.4,1.03E-07,,3.34E-07
332.6,1.08E-07,,3.70E-07
332.8,1.19E-07,,4.09E-07
333,1.30E-07,,4.54E-07
333.2,1.43E-07,,5.02E-07
333.4,1.57E-07,,5.57E-07
333.6,1.73E-07,,6.17E-07
333.8,1.90E-07,,6.83E-07
334,2.09E-07,,7.57E-07
334.2,2.29E-07,,8.38E-07
334.4,2.52E-07,,9.29E-07
334.6,2.77E-07,,1.03E-06
334.8,3.05E-07,,1.14E-06
335,3.35E-07,,1.26E-06
335.2,3.68E-07,,9.36E-07
335.4,4.04E-07,,6.94E-07
335.6,4.44E-07,,5.42E-07
335.8,4.88E-07,,4.98E-07
336,5.34E-07,,4.57E-07
336.2,5.00E-07,,4.20E-07
336.4,4.67E-07,,3.85E-07
336.6,4.37E-07,,3.54E-07
336.8,4.09E-07,,3.25E-07
337,3.82E-07,,2.98E-07
337.2,3.57E-07,,2.74E-07
337.4,3.34E-07,,2.51E-07
337.6,3.12E-07,,2.31E-07
337.8,2.92E-07,,2.12E-07
338,2.73E-07,,1.95E-07
338.2,2.55E-07,,1.79E-07
338.4,2.39E-07,,1.64E-07
338.6,2.23E-07,,1.51E-07
338.8,2.09E-07,,1.38E-07
339,1.95E-07,,1.27E-07
339.2,1.83E-07,,1.17E-07
339.4,1.71E-07,,1.17E-07
339.6,1.60E-07,,1.25E-07
339.8,1.49E-07,,1.34E-07
340,1.40E-07,0.08196,1.43E-07
340.2,1.31E-07,0.07527,1.53E-07
340.4,1.22E-07,0.06034,1.63E-07
340.6,1.14E-07,0.04043,1.74E-07
340.8,1.07E-07,0.0212,1.86E-07
341,1.00E-07,0.00777,1.99E-07
341.2,1.00E-07,0.00237,2.12E-07
341.4,1.00E-07,0.00125,2.27E-07
341.6,1.00E-07,0.00199,2.42E-07
341.8,1.00E-07,0.00344,2.59E-07
342,1.00E-07,0.00439,2.77E-07
342.2,1.00E-07,0.00511,2.96E-07
342.4,1.00E-07,0.00547,3.16E-07
342.6,1.00E-07,0.00538,3.37E-07
342.8,1.00E-07,0.00532,3.60E-07
343,1.00E-07,0.00484,3.85E-07
343.2,1.00E-07,0.00379,3.61E-07
343.4,1.00E-07,0.00273,3.35E-07
343.6,1.00E-07,0.00222,3.12E-07
343.8,1.00E-07,0.00189,2.90E-07
344,1.00E-07,0.00157,2.70E-07
344.2,1.00E-07,0.00099308,2.51E-07
344.4,1.00E-07,0.00030577,2.33E-07
344.6,1.00E-07,4.42E-05,2.17E-07
344.8,1.00E-07,4.39E-05,2.02E-07
345,1.00E-07,4.38E-05,1.88E-07
345.2,1.00E-07,4.35E-05,1.75E-07
345.4,1.00E-07,4.33E-05,1.62E-07
345.6,1.00E-07,4.29E-05,1.51E-07
345.8,1.00E-07,4.25E-05,1.41E-07
346,1.00E-07,4.23E-05,1.31E-07
346.2,1.09E-07,4.20E-05,1.22E-07
346.4,1.18E-07,4.17E-05,1.13E-07
346.6,1.28E-07,4.16E-05,1.05E-07
346.8,1.39E-07,4.16E-05,1.00E-07
347,1.51E-07,4.16E-05,1.00E-07
347.2,1.64E-07,4.18E-05,1.00E-07
