,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
B06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,25,2,pJUMP43-2A(pBBR1)|25ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B6 of 3 on Temperature Module GEN2 on 3,25/09/2022
C06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,50,0,pJUMP43-2A(pBBR1)|50ug|0,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C6 of 3 on Temperature Module GEN2 on 3,25/09/2022
D06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,50,1,pJUMP43-2A(pBBR1)|50ug|1,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D6 of 3 on Temperature Module GEN2 on 3,25/09/2022
E06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,50,2,pJUMP43-2A(pBBR1)|50ug|2,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E6 of 3 on Temperature Module GEN2 on 3,25/09/2022
F06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,75,0,pJUMP43-2A(pBBR1)|75ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F6 of 3 on Temperature Module GEN2 on 3,25/09/2022
G06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,75,1,pJUMP43-2A(pBBR1)|75ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G6 of 3 on Temperature Module GEN2 on 3,25/09/2022
H06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,75,2,pJUMP43-2A(pBBR1)|75ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H6 of 3 on Temperature Module GEN2 on 3,25/09/2022
A07,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,100,0,pJUMP43-2A(pBBR1)|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A7 of 3 on Temperature Module GEN2 on 3,25/09/2022
B07,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,100,1,pJUMP43-2A(pBBR1)|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B7 of 3 on Temperature Module GEN2 on 3,25/09/2022
C07,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,100,2,pJUMP43-2A(pBBR1)|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C7 of 3 on Temperature Module GEN2 on 3,25/09/2022
