,Abberior STAR 470SXP em,Abberior STAR 470SXP ex,Abberior STAR 520SXP em,Abberior STAR 520SXP ex,abberior STAR 580 em,abberior STAR 580 ex,abberior STAR 635 em,abberior STAR 635 ex,Abberior STAR GREEN em,Abberior STAR GREEN ex,Abberior STAR ORANGE em,Abberior STAR ORANGE ex,Abberior STAR RED em,Abberior STAR RED ex,Alexa Fluor 350 em,Alexa Fluor 350 ex,Alexa Fluor 405 em,Alexa Fluor 405 ex,Alexa Fluor 430 em,Alexa Fluor 430 ex,Alexa Fluor 488 em,Alexa Fluor 488 ex,Alexa Fluor 514 em,Alexa Fluor 514 ex,Alexa Fluor 532 em,Alexa Fluor 532 ex,Alexa Fluor 546 em,Alexa Fluor 546 ex,Alexa Fluor 555 em,Alexa Fluor 555 ex,Alexa Fluor 568 em,Alexa Fluor 568 ex,Alexa Fluor 594 em,Alexa Fluor 594 ex,Alexa Fluor 610 em,Alexa Fluor 610 ex,Alexa Fluor 633 em,Alexa Fluor 633 ex,Alexa Fluor 635 em,Alexa Fluor 635 ex,Alexa Fluor 647 em,Alexa Fluor 647 ex,Alexa Fluor 660 em,Alexa Fluor 660 ex,Alexa Fluor 680 em,Alexa Fluor 680 ex,Alexa Fluor 700 em,Alexa Fluor 700 ex,Alexa Fluor 750 em,Alexa Fluor 750 ex,Alexa Fluor 790 em,Alexa Fluor 790 ex,Abberior LIVE 550 em,Abberior LIVE 550 ex,Abberior LIVE 610 em,Abberior LIVE 610 ex,DAPI em,DAPI ex,SYTOX Blue em,SYTOX Blue ex,abberior STAR440L ex,abberior STAR440L em,abberior STAR460L ex,abberior STAR460L em,abberior STAR520L ex,abberior STAR520L em,Cy3 em,Cy7 em,Cy7 ex,Cy3 ex,Cy5 ex,Cy5 em,ATTO 550 ex,ATTO 550 em,ATTO 390 em,ATTO 390 ex,ATTO 542 em,ATTO 542 ex,ATTO 550 ex.1,ATTO 565 em,ATTO 565 ex,ATTO 590 em,ATTO 590 ex,ATTO 594 em,ATTO 594 ex,ATTO 610 em,ATTO 610 ex,ATTO 620 em,ATTO 620 ex,ATTO 633 em,ATTO 633 ex,ATTO 643 em,ATTO 643 ex,ATTO 647 em,ATTO 647 ex,ATTO 647N em,ATTO 647N ex,ATTO 655 em,ATTO 655 ex,ATTO 665 em,ATTO 665 ex,ATTO 680 em,ATTO 680 ex,ATTO 700 em,ATTO 700 ex,ATTO 725 em,ATTO 725 ex,ATTO 740 em,ATTO 740 ex,6-FAM em,6-FAM ex
481.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481.9599915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021301826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,0.97437114,,0.58564,,0.027729999,,0.0086,0.0179,0.7167,,0.0385,,0.00921,0.5016,,0.2138,,0.0645,0.3445,0.0107,0.5768,0.0013,0.3626,,0.1721,,0.0637,,0.1141,,0.0357,,0.0369,,0.0103,,,,0.0091,,,,0.0487,,,,0.0088,,0.0016,,0.0143,,0.093727946,,0.018521849,0.8656,,0.7983,0.0069,0.26139,0.30076,0.628515733,,0.58564,,,,,0.1184,,,0.070203464,,0.971380951,0.001,,0.087883117,0.070203464,,0.054203464,,0.020138528,,0.011372294,,0.008766234,,0.004718615,,0.005536797,,0.002909091,,0.004969697,,0.004372294,,0.014,,0.002861472,,0.010030303,,0.006138528,,0.009735931,,0.026658009,0,0.675217569
483,,0.96863925,,0.59974,,0.027720001,,0.0084,0.0204,0.7472,,0.0403,,0.00884,0.4852,,0.2052,,0.0728,0.3265,0.0135,0.6025,0.0014,0.3738,,0.181,,0.0653,,0.1177,,0.0385,,0.0366,,0.0119,,,,0.0089,,,,0.05,,,,0.0088,,0.0016,,0.0141,,0.097540215,,0.016157238,0.8416,,0.7891,0.0057,0.247,0.32667,0.605568902,,0.59974,,,,,0.1253,,,0.072675326,,0.963493508,0.001,,0.093103896,0.072675326,,0.056675325,,0.021463203,,0.011766234,,0.009203463,,0.004861472,,0.005831169,,0.002969697,,0.005138528,,0.004536797,,0.014,,0.003030303,,0.009861472,,0.005969697,,0.008251082,,0.024952381,0,0.703566372
483.0299988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023772193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483.9299927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024498296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,,0.962512,,0.61497,,0.031550001,,0.0084,0.0273,0.7752,,0.0421,,0.00885,0.4685,,0.1951,,0.0803,0.3095,0.0167,0.6297,0.0014,0.3842,,0.1917,,0.0679,,0.1242,,0.0412,,0.0397,,0.0102,,,,0.0089,,,,0.0514,,,,0.0085,,0.0013,,0.0137,,0.100562938,,0.019600792,0.8347,,0.7682,0.0051,0.23369,,0.582772311,,0.61497,,,,,0.1322,,,0.075341993,,0.954991347,0.001,,0.099285713,0.075341993,,0.059341991,,0.022658009,,0.012112554,,0.009796537,,0.005030303,,0.006077922,,0.003138528,,0.005372294,,0.004831169,,0.014,,0.003090909,,0.009627705,,0.006,,0.00695671,,0.023030303,0,0.732836604
485,,0.95521206,,0.63038,,0.030780001,,0.0088,0.0343,0.8033,,0.0439,,0.00843,0.4535,,0.188,,0.0889,0.2924,0.021,0.6589,0.0012,0.3942,,0.2026,,0.0707,,0.1282,,0.0439,,0.0406,,0.0106,,,,0.0088,,,,0.0526,,,,0.0085,,0.0014,,0.0136,,0.104240462,,0.019780615,0.8239,,0.753,0.0042,0.22046,0.38448,0.559802786,0.026617167,0.63038,,,,,0.1367,,,0.078047619,,0.945874468,0.001,,0.105852816,0.078047619,,0.062047619,,0.023722944,,0.012766234,,0.010233766,,0.005090909,,0.006432901,,0.003372294,,0.005627706,,0.005168831,,0.014090909,,0.003,,0.009372294,,0.006030303,,0.005939394,,0.021,0,0.764973521
486,,0.9490849,,0.64486,,0.03272,,0.0085,0.0412,0.84,,0.0457,,0.00869,0.4366,,0.1784,,0.0981,0.2758,0.0258,0.6892,0.0017,0.4028,,0.214,,0.0725,,0.1342,,0.0468,,0.0424,,0.0109,,,,0.0087,,,,0.0541,,,,0.0086,,0.0013,,0.0132,,0.108163983,,0.0181622,0.8164,,0.7423,0.0036,0.20664,,0.53669618,,0.64486,,,,,0.1404,,,0.080878789,,0.935541132,0.001,,0.112826841,0.080878789,,0.065060607,,0.024658009,,0.013372294,,0.010536796,,0.005,,0.006766234,,0.003627706,,0.005861472,,0.005463203,,0.014030303,,0.003,,0.009138528,,0.005861472,,0.00495671,,0.018969697,0,0.797110498
