,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date,samples_id
G06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,75,1,pJUMP43-2A(pBBR1)|75ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G6 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP43-2A(pBBR1)|75ug
H06,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,75,2,pJUMP43-2A(pBBR1)|75ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H6 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP43-2A(pBBR1)|75ug
A07,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,100,0,pJUMP43-2A(pBBR1)|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A7 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP43-2A(pBBR1)|100ug
B07,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,100,1,pJUMP43-2A(pBBR1)|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B7 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP43-2A(pBBR1)|100ug
C07,y,DH5a,pJUMP43-2A(pBBR1),EZRDM,100,2,pJUMP43-2A(pBBR1)|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C7 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP43-2A(pBBR1)|100ug
D07,y,DH5a,pJUMP46-2A(p15A),EZRDM,0,0,pJUMP46-2A(p15A)|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D7 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|0ug
E07,y,DH5a,pJUMP46-2A(p15A),EZRDM,0,1,pJUMP46-2A(p15A)|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E7 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|0ug
F07,y,DH5a,pJUMP46-2A(p15A),EZRDM,0,2,pJUMP46-2A(p15A)|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F7 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|0ug
G07,y,DH5a,pJUMP46-2A(p15A),EZRDM,25,0,pJUMP46-2A(p15A)|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G7 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|25ug
H07,y,DH5a,pJUMP46-2A(p15A),EZRDM,25,1,pJUMP46-2A(p15A)|25ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H7 of 3 on Temperature Module GEN2 on 3,2022-09-24,pJUMP46-2A(p15A)|25ug
